,Chat ID,Product ID,Category ID,Text,Q1,SQ# (v1.8),remove_punctuation,remove_stopwords,pre_check
0,9303239,DROID TURBO 2,Lines/Spots on Display,"[04:20:03 PM]Hi, my name is Abigail&#46; How may I help you?<br />
[04:21:05 PM]Abigail: Hello Jonathan.<br />
[04:22:05 PM]Abigail: Are you still there? We have noticed that you have been ""idle"" for 2 minutes, if no response is sent within the next minute this chat session could be terminated.<br />
[04:22:27 PM]JONATHAN MAGUIRE: Hi Abigail<br />
[04:22:29 PM]JONATHAN MAGUIRE: Yes I am here<br />
[04:22:54 PM]JONATHAN MAGUIRE: I had a few questions about an issue with my Motorola Droid Turbo<br />
[04:22:55 PM]JONATHAN MAGUIRE: 2<br />
[04:23:10 PM]Abigail: May I know what is it?<br />
[04:23:40 PM]JONATHAN MAGUIRE: Yes. It is a known issue where a green line appears down the middle of the screen (which has now progressed to be many green lines).<br />
[04:23:51 PM]JONATHAN MAGUIRE: It seems to be a highly reported issue with this phone<br />
[04:25:50 PM]Abigail: I am sorry to know about the green line issue for droid turbo 2 but let me check the details here for you.<br />
[04:26:29 PM]JONATHAN MAGUIRE: Sure<br />
[04:27:33 PM]Abigail: One moment then please.<br />
[04:29:29 PM]Abigail: I am still checking my resources here. One moment again please.<br />
[04:30:24 PM]Abigail: If you look across the entire industry you will see occasional cases like this. The important thing is how companies respond. We rapidly addressed the design issue and are working with affected customers to replace or repair their units under warranty.<br />
[04:31:37 PM]JONATHAN MAGUIRE: Yes I understand and saw you had an option to send the phone in for refurbishment or have a refurbished one delivered<br />
[04:31:54 PM]JONATHAN MAGUIRE: I just wanted to make sure it is a known defect as opposed to being a paid repair<br />
[04:32:24 PM]Abigail: I am sorry but it is not a refurbished one but a like new one.<br />
[04:33:00 PM]JONATHAN MAGUIRE: ok that is fine as well<br />
[04:33:37 PM]JONATHAN MAGUIRE: I guess my question is will the replacement be free (other than the $25 or so cost to send the like new one)<br />
[04:33:48 PM]JONATHAN MAGUIRE: or will there be a charge for the defect phone<br />
[04:34:26 PM]Abigail: There would a security hold but this one will be refunded by the time we receive the defective device.<br />
[04:35:22 PM]JONATHAN MAGUIRE: ok great<br />
[04:35:42 PM]JONATHAN MAGUIRE: So in that case I will go ahead and place the order for the replacement unit on the Motorola website<br />
[04:35:44 PM]Abigail: Would there be anything else that I can assist you with?<br />
[04:35:46 PM]JONATHAN MAGUIRE: if that is correct<br />
[04:36:55 PM]Abigail: You can give us a call in this number 1-800-734-5870 to process you a advance exchange or you can also do the online repair.<br />
[04:37:45 PM]Abigail: For details about submitting your device for repair, please visit our online repair page <a href=""https://motorola-global-portal.custhelp.com/app/mcp/service/"" target=""_blank"">https://motorola-global-portal.custhelp.com/app/mcp/service/</a> .<br />
[04:38:01 PM]JONATHAN MAGUIRE: Ok great. I think that is all for today then.<br />
[04:38:07 PM]JONATHAN MAGUIRE: Thanks and I appreciate the help.<br />
[04:38:14 PM]Abigail: Just in case you still have questions to follow, please feel free to chat us again or you can also call our toll-free number 1-800-734-5870 so we can further assist you.<br />
[04:38:25 PM]JONATHAN MAGUIRE: Thank you Abigail<br />
[04:38:36 PM]Abigail: You're welcome. We are always looking to improve our customer support, so you may receive a survey after this chat. We appreciate any feedback you can provide.  Thanks for choosing Motorola!<br />
[04:38:42 PM]Abigail: Thank you for contacting Motorola chat support. Have a Wonderful day!<br />
[04:39:36 PM]'JONATHAN MAGUIRE' disconnected ('Concluded by Agent').<br />", It is a known issue where a green line appears down the middle of the screen ,H1.4, it is a known issue where a green line appears down the middle of the screen , a known issue a green line appears middle screen, it is a known issue where a green line appears down the middle of the screen
1,9303222,MOTO E,Backup / Transfer Files,"[04:10:29 PM]Hi, my name is Marc Julius&#46; How may I help you?<br />
[04:12:21 PM]Marc Julius: Hello?<br />
[04:14:20 PM]Marc Julius: Hi Dwight.tech@gmail.com,  I noticed you have been away from the chat session for 2 minutes. I’ll stay here until the next minute so I can continue to help you with your concern. Feel free to contact  us again through our chat support  so we can further assist you or you may also call our toll free numbers, please follow this link <a href=""https://motorola-global-portal.custhelp.com/app/call"" target=""_blank"">https://motorola-global-portal.custhelp.com/app/call</a>.  Thank you and have a nice day!<br />
[04:14:41 PM]Dwight.tech@gmail.com: I have a Moto E tracfone I broke the screen badly on and they are  not going to send me a replacement. <br />I  am looking to salvage the info I have to my computer, and then to a new android phone<br />
[04:15:53 PM]Dwight.tech@gmail.com: this is android 4<br />
[04:16:02 PM]Dwight.tech@gmail.com: 4.4'<br />
[04:17:01 PM]Marc Julius: I'm sorry to hear that they cant able to send you a replacement but no worries I will be more than happy to help you.<br />
[04:17:25 PM]Dwight.tech@gmail.com: I have been trying to use products to put it in debug mode but not been  sucessful<br />
[04:17:53 PM]Marc Julius: As you said a while ago your device screen is cracked right?<br />
[04:19:17 PM]Dwight.tech@gmail.com: yes I  1/4 of the screen doen't work the rest is spread of with lines onit<br />
[04:19:27 PM]Dwight.tech@gmail.com: on it<br />
[04:20:49 PM]Marc Julius: For that one, there is no option to transfer files from your broken phone to your personal computer since we cant navigate your device anymore.<br />
[04:21:32 PM]Dwight.tech@gmail.com: So I just loose everything?<br />
[04:22:08 PM]Dwight.tech@gmail.com: Is there anything that can be done?<br />
[04:22:24 PM]Dwight.tech@gmail.com: That stinks<br />
[04:22:47 PM]Marc Julius: Yes, but you can contact google support if they have option to get your files from your broken phone and sync it to your google account.<br />
[04:23:45 PM]'Dwight.tech@gmail.com' disconnected ('Concluded by End-user').<br />","I have a Moto E tracfone I broke the screen badly on and they are  not going to send me a replacement. <br />I  am looking to salvage the info I have to my computer, and then to a new android phone",H1.4,i have a moto e tracfone i broke the screen badly on and they are  not going to send me a replacement   i  am looking to salvage the info i have to my computer  and then to a new android phone, a moto e tracfone broke screen badly going send a replacement looking salvage info computer a new android phone, i have a moot e tracfone i broke the screen badly on and they are not going to send me a replacement i am looking to salvage the info i have to my computer and then to a new android phone
2,9001064,Moto E (2nd Gen.),Adjust Device Settings,"[09:45:02 PM] Hi, my name is SaiKiran. How may I help you?
[09:45:12 PM] mohin: hi
[09:45:42 PM] SaiKiran: Hello! mohin
[09:45:44 PM] mohin: i need &nbsp;help with making display size make it bigger
[09:46:15 PM] mohin: when i type with this phone the letter size look to samall
[09:46:49 PM] SaiKiran: Sure,I will assist you with this concern.
[09:47:27 PM] mohin: ok
[09:48:00 PM] SaiKiran: I understand that you want to increase the font size for which you are typing,Am I right?
[09:48:08 PM] mohin: yes?
[09:48:18 PM] mohin: yes
[09:48:38 PM] SaiKiran: May I know the device model you are using?
[09:49:01 PM] mohin: i dont know
[09:49:15 PM] mohin: it moto e 2nd &nbsp;g
[09:49:42 PM] mohin: hold on
[09:50:31 PM] mohin: model xt1528
[09:50:52 PM] mohin: type:M1091
[09:50:54 PM] SaiKiran: I suggest you to go to settings>>display>>font size>>large.
[09:51:57 PM] mohin: YES I MAKE IT large
[09:52:09 PM] mohin: and it still look small
[09:52:42 PM] SaiKiran: I suggest you &nbsp;to tap on huge.
[09:53:35 PM] mohin: i have other phone samsung to compare with samsung moto phone is to small front size
[09:53:59 PM] mohin: yes i make it huge
[09:54:06 PM] mohin: stll look small
[09:54:40 PM] SaiKiran: Okay,I suggest you to return back to home screen.
[09:54:43 PM] SaiKiran: Go t
[09:54:48 PM] mohin: ok
[09:55:20 PM] SaiKiran: Go to settings>>Apps>>scroll down to settings app>>storage>>clear data.
[09:56:52 PM] mohin: i dont see clear data
[09:57:25 PM] SaiKiran: May I know what are the options you are able to see?
[09:59:05 PM] mohin: adriod os, total space, apps(app data&amp;media
[09:59:19 PM] mohin: cached data
[09:59:24 PM] mohin: and more
[09:59:50 PM] mohin: downloads
[10:00:15 PM] SaiKiran: May I know the location(Country) from where the device has been purchased?
[10:00:22 PM] mohin: usa
[10:00:41 PM] SaiKiran: I suggest you to go to home screen.
[10:00:44 PM] mohin: ok
[10:01:27 PM] mohin: in screen look ok size
[10:01:49 PM] mohin: but the later size not ok even i make it huge
[10:02:15 PM] SaiKiran: Then again go to settings>>Apps>>swipe from right to left,you will be having the All Apps>>scroll down to settings>>clear data.
[10:03:35 PM] mohin: i got ot
[10:03:46 PM] SaiKiran: That&#39;s great.
[10:03:55 PM] mohin: ok it say delete app data?
[10:04:03 PM] SaiKiran: Yes.
[10:04:07 PM] mohin: ok
[10:04:17 PM] mohin: then
[10:04:43 PM] SaiKiran: Now I suggest you to PRESS and HOLD the power key for 120 seconds.
[10:05:29 PM] mohin: ok
[10:05:39 PM] mohin: then
[10:06:09 PM] SaiKiran: I suggest you to now check with the issue.
[10:06:43 PM] mohin: yes it same think
[10:07:04 PM] mohin: i think the way they make this phone like this
[10:07:24 PM] SaiKiran: It might be the design issue.
[10:07:38 PM] mohin: and it will not make that much bigger size as other phone
[10:07:42 PM] mohin: maybe
[10:08:14 PM] SaiKiran: Sorry for the inconvenience this has caused with the device.
[10:08:47 PM] mohin: so thanks for your help &nbsp;have a good day
[10:08:57 PM] SaiKiran: Is there anything else I can assist you with today?
[10:09:01 PM] mohin: no
[10:09:04 PM] &#39;mohin&#39; disconnected (&#39;Concluded by End-user&#39;).
","i need &nbsp;help with making display size make it bigger, when i type with this phone the letter size look to samall,i have other phone samsung to compare with samsung moto phone is to small front size, I have set the font size large in settings>>display>>font size>>large. and it will not make that much bigger size as other phone",H1.4.3,i need  help with making display size make it bigger  when i type with this phone the letter size look to samall i have other phone samsung to compare with samsung moto phone is to small front size  i have set the font size large in settings display font size large  and it will not make that much bigger size as other phone, need help making display size make bigger type phone letter size look samall phone samsung compare samsung moto phone small size set font size large settings display font size large make bigger size phone, i need help with making display size make it bigger when i type with this phone the letter size look to Small i have other phone Samsung to compare with Samsung moot phone is to small front size i have set the font size large in settings display font size large and it will not make that much bigger size as other phone
3,8947834,Moto G (4th Gen.),Unlock Bootloader,"[04:28:35 PM] Hi, my name is Panda. How may I help you?
[04:30:35 PM] Facundo Lacunza: hello, i have requested my bootloader unlock code for my moto g4 many times, but i didn&#39;t receive any mail
[04:30:56 PM] Panda: I am really sorry for the inconvenience this has caused. Let me see how we can best resolve this
[04:31:28 PM] Panda: Could you please provide me with the IMEI number of your phone? It can be found on the side of the box, under Settings > Phone info > Status, or by dialing *#06# on the main screen of your handset
[04:32:17 PM] Facundo Lacunza: 354124071816722
[04:32:43 PM] Panda: Thank you for the information
[04:33:05 PM] Panda: Could you please provide me the Alphanumeric String you got.
[04:33:30 PM] Facundo Lacunza: 3A45210417187622#5A593232334434535646004D6F746F2047200000#29E52E269D17F4C2A9858C50B7E25AD7386CD511#51FD1901000000000000000000000000
[04:35:53 PM] Panda: Okay do you have the PC with you now
[04:36:09 PM] Facundo Lacunza: yes
[04:36:19 PM] Panda: Okay just try with this code
[04:36:19 PM] Panda: RIGVDZCCGOQD7IRGSLZZ
[04:36:27 PM] Panda: Let me know if it works
[04:36:45 PM] Facundo Lacunza: wait a second, i have to put the phone in fastboot mode
[04:36:50 PM] Panda: Sure
[04:39:27 PM] Panda: It should work
[04:39:31 PM] Panda: Is it working.
[04:40:23 PM] Panda: Are we connected?
[04:40:37 PM] Facundo Lacunza: wait a second
[04:41:04 PM] Panda: OKay
[04:41:53 PM] Facundo Lacunza: it worked
[04:41:56 PM] Facundo Lacunza: thanks!!
[04:42:03 PM] Panda: Great!!
[04:42:09 PM] Panda: May I ask for a little favor please?
[04:42:15 PM] Facundo Lacunza: yes, tell em
[04:42:16 PM] Panda: You may receive a survey through the email you provided earlier, it should take no more than a minute and we would highly appreciate your feedback. This survey purely talks about my performance within the whole chat. I&#39;ll be looking forward for your scores and comments after this chat. Thank you for choosing Motorola.
[04:42:25 PM] Panda: This really means a lot to mt
[04:42:43 PM] Facundo Lacunza: of course, no problem
[04:42:44 PM] Panda: Please check your E-Mail after the chat disconnects
[12:00:00 AM] Panda: Thank you for contacting Motorola have a nice day.
[04:42:51 PM] &#39;Facundo Lacunza&#39; disconnected (&#39;Concluded by Agent&#39;).
"," hello, i have requested my bootloader unlock code for my moto g4 many times, but i didn&#39;t receive any mail",H1.5, hello  i have requested my bootloader unlock code for my moto g4 many times  but i didn't receive any mail, hello requested bootloader unlock code moto g4 times didn't receive mail, hello i have requested my boot loader unlock code for my moot G many times but i didn't receive any mail
4,9303408,DROID TURBO 2,Color,"[07:35:35 PM]Hi, my name is HH_Jose Dyril&#46; How may I help you?<br />
[07:37:23 PM]Jaime: I bought a Droid 2  that has a design refresh. I requested a pin once but couldn't submit my phone at the time. How can I reactivate the design refresh pin?<br />
[07:40:32 PM]Jaime: Did you get my question?<br />
[07:41:17 PM]HH_Jose Dyril: Thank you for having interest with our product, For your PIN, Please do give us a call at our hotline at 1-800-734-5870  so that we can process the request for your PIN.<br />
[07:43:49 PM]Jaime: ok, thanks.<br />
[07:44:52 PM]HH_Jose Dyril: We are always looking to improve our customer support, so you may receive a survey after this chat. We appreciate any feedback you can provide.  Thanks for choosing Motorola!<br />
[07:45:06 PM]HH_Jose Dyril: Thank you for contacting Motorola chat support. Have a Wonderful day!<br />
[07:46:51 PM]'Jaime' disconnected ('Concluded by Agent').<br />
", I requested a pin once but couldn't submit my phone at the time. How can I reactivate the design refresh pin?,H1.5, i requested a pin once but couldn't submit my phone at the time  how can i reactivate the design refresh pin , requested a pin couldn't submit phone time reactivate design refresh pin, i requested a pin once but couldn't submit my phone at the time how can i reactivate the design refresh pin
5,8964860,MOTO E,Unlock Bootloader,"[09:40:41 AM] Hi, my name is Savanapalli. How may I help you?
[09:41:21 AM] jhon stratum: Can you tell me how should I unlock bootloader on mY moto e
[09:41:31 AM] Savanapalli: Sure, I’ll be glad to help you with this
[09:41:35 AM] Savanapalli: To help me better understand the issue, I need collect some information. Is that OK with you?
[09:41:45 AM] jhon stratum: Yuup
[09:41:48 AM] Savanapalli: Could you please provide me with the IMEI number of your phone? It can be found on the side of the box, under Settings > Phone info > Status, or by dialing *#06# on the main screen of your handset
[09:42:03 AM] jhon stratum: One minutes
[09:42:08 AM] Savanapalli: sure
[09:43:11 AM] jhon stratum: 359299050557458
[09:43:52 AM] Savanapalli: Just to confirm, you have purchased the device from India, Am I right?
[09:44:04 AM] jhon stratum: Yea
[09:44:06 AM] Savanapalli: Unfortunately, right now you have reached United States support.To better assist you with questions about your device, I suggest you to follow the link to select your region of support.

http://www.motorola.com/sites/country-selector/index.html
[09:44:24 AM] jhon stratum: Fuck
[12:00:00 AM] Savanapalli: Thank you for contacting Motorola chat support. Have a Wonderful day!
[09:44:39 AM] &#39;jhon stratum&#39; disconnected (&#39;Concluded by Agent&#39;).
", Can you tell me how should I unlock bootloader on mY moto e,H1.5.1, can you tell me how should i unlock bootloader on my moto e, tell unlock bootloader moto e, can you tell me how should i unlock boot loader on my moot e
6,9304763,Moto Z (Droid),Unlock Bootloader,"[07:12:01 AM]Hi, my name is Angela&#46; How may I help you?<br />
[07:12:45 AM]Teddy Abadilla: hi I want to get bootloader unlock key<br />
[07:13:13 AM]Angela: Hello Teddy, may I know what is the model of the phone?<br />
[07:13:52 AM]Teddy Abadilla: its a Verizon moto z droid<br />
[07:15:14 AM]Angela: Honestly, we don't allow our customers to have the boot loader because it will void its phone warranty but I can check if the device is available for that.<br />
[07:16:17 AM]Teddy Abadilla: its ok I don't mind if the warranty will be voided<br />
[07:17:21 AM]Angela: Okay Teddy but while I'm checking this, will it be alright if you could kindly provide your name, phone number and your email address so that I can pull up your information here?<br />
[07:17:57 AM]Teddy Abadilla: Teddy Abadilla<br />
[07:18:17 AM]Teddy Abadilla: 773-307-5395<br />
[07:18:33 AM]Teddy Abadilla: teddya522@gmail.com<br />
[07:18:44 AM]Angela: Thank you Teddy and may I know what is the IMEI of the phone?<br />
[07:20:38 AM]Teddy Abadilla: 3541 0707 0652 016<br />
[07:21:16 AM]Angela: Thank you. Upon checking here, the boot loader for Moto Z droid is not available if you purchased it in Verizon.<br />I have here the link for you to check this out.<br />
[07:21:25 AM]Angela: <a href=""https://motorola-global-portal.custhelp.com/app/answers/detail/a_id/87215"" target=""_blank"">https://motorola-global-portal.custhelp.com/app/answers/detail/a_id/87215</a><br />
[07:21:55 AM]Angela: Would there be anything else?<br />
[07:22:23 AM]Teddy Abadilla: that's all thank you for your help<br />
[07:22:37 AM]Angela: You are welcome. If any cases that you still have concerns, never hesitate to call or contact us back again.<br />
[07:22:49 AM]Angela: By the way Teddy, can I ask a little favor if you don't mind? You will be receiving an email survey that purely talks on how I assisted you on this specific conversation and not the entire experience in contacting us.I hope you could take time to answer it for me.<br />
[07:23:12 AM]Teddy Abadilla: the phone is purchase on ebay<br />
[07:24:16 AM]Angela: Oh, I see. Well, you can try to unlock it at the site that I provided you. It all has the model of the phone that can be unlocked.<br />
[07:25:10 AM]Angela: Would there be anything else Teddy?<br />
[07:25:34 AM]Teddy Abadilla: can you please email the link so I can do it at home<br />
[07:25:59 AM]Angela: Sure Teddy I will. This is your email address right? teddya522@gmail.com<br />
[07:27:49 AM]Teddy Abadilla: yes please and thank your for your help have a good day.<br />
[07:28:05 AM]Angela: You are welcome and thank you for contacting us. And I will be sending you an email also which is the survey. This purely talks about how I assisted you today and I hope you could take time to answer it for me.<br />
[07:28:25 AM]Teddy Abadilla: ok<br />
[07:28:27 AM]Angela: Have a great day! Rest assure that I will be sending the email.<br />
[07:28:34 AM]'Teddy Abadilla' disconnected ('Concluded by End-user').<br />
", hi I want to get bootloader unlock key,H1.5.1, hi i want to get bootloader unlock key, hi want bootloader unlock key, hi i want to get boot loader unlock key
7,9129002,Unable to Collect Phone Model,Unlock Bootloader,"[05:01:38 PM] Hi, my name is Khaja. How may I help you?
[05:01:46 PM] User: Hi
[05:02:57 PM] &#39;Khaja&#39; disconnected (&#39;Transferred to Queue&#39;).
[05:03:01 PM] Hi, my name is Savanapalli. How may I help you?
[05:03:13 PM] joao: I am trying to Unlock the bootloader of my device and I am not receiveing the unlock code.
[05:03:20 PM] joao: Can you help me?
[05:03:38 PM] joao: And Hi Savanapalli!
[05:03:43 PM] Savanapalli: Sure, I’ll be glad to help you with this
[05:03:49 PM] joao: Good
[05:04:00 PM] joao: How can I proceed?
[05:05:04 PM] Savanapalli: To help me better understand the issue, I need collect some information. Is that OK with you?
[05:06:09 PM] joao: This is the page witch I can ask to unlock my device:
[05:06:11 PM] joao: https://motorola-global-portal.custhelp.com/app/standalone/bootloader/unlock-your-device-b
[05:07:18 PM] joao: But when I send the request this message pops out:
There has been an error with your request.
[05:07:29 PM] Savanapalli: Before we began, Could you please let me know the place of purchase of your device(country), and the IMEI number?
[05:07:41 PM] joao: Brazil
[05:08:20 PM] Savanapalli: Unfortunately right now you have reached Motorola US support.To better assist you with questions about your device, I suggest you to follow the link to select your local support.

http://www.motorola.com/sites/country-selector/index.html
[05:08:47 PM] joao: There is two IMEIs
[05:09:01 PM] Savanapalli: Are you able to access above link?

[05:09:04 PM] joao: My cellphone has two SIM slots
[05:09:19 PM] joao: I think so
[05:09:30 PM] joao: Um...
[05:09:45 PM] joao: Ok, thanks anyway
[05:09:56 PM] Savanapalli: Thank you for contacting Motorola chat support. Have a Wonderful day!
[05:09:57 PM] &#39;joao&#39; disconnected (&#39;Concluded by Agent&#39;).
", I am trying to Unlock the bootloader of my device and I am not receiveing the unlock code.,H1.5.1, i am trying to unlock the bootloader of my device and i am not receiveing the unlock code , trying unlock bootloader device receiveing unlock code, i am trying to unlock the boot loader of my device and i am not receiving the unlock code
8,9081890,Moto X (2nd Gen.),Unlock Bootloader,"[09:02:24 AM] Hi, my name is Meruga. How may I help you?
[09:03:04 AM] asad: hi
[09:03:08 AM] asad: asad here
[09:03:25 AM] asad: i have moto x 2nd gen verizon version
[09:04:25 AM] Meruga: Okay, please go on.
[09:04:24 AM] asad: i tried to unlock its bootloader through motorola website but it says device do not qualify to unlock bootloader
[09:04:38 AM] asad: how can i unlock my bootloader
[09:04:47 AM] Meruga: I am sorry for the inconvenience. I will do my best to help you with the issue.
[09:04:52 AM] Meruga: Could you please provide me with the IMEI number of your phone? It can be found on the side of the box, under Settings > About Phone > Status, or by dialing *#06# on the main screen of your handset.
[09:05:25 AM] asad: its 990005082505281
[09:06:02 AM] Meruga: Thank you for providing the information.
[09:06:25 AM] Meruga: I understand that you want to unlock your device boot loader , Am I correct?
[09:06:31 AM] asad: yes
[09:06:43 AM] Meruga: Thank you for confirmation.
[09:07:20 AM] Meruga: I would like to inform you that the devices bought under verizon carrier is not eligible to unlock the boot loader.
[09:07:36 AM] asad: so how can i unlock it now
[09:07:56 AM] asad: or is there any way i can update to marshmollow 6.0
[09:08:01 AM] Meruga: If you want to use another carrier, I suggest you to contact your carrier.
[09:08:12 AM] Meruga: They will help you with the subsidy code.
[09:08:40 AM] asad: i want to update my device to android 6.0
[09:09:35 AM] Meruga: I am sorry asad.
[09:10:12 AM] asad: thank you then ill contact verizon then
[09:10:21 AM] Meruga: You are welcome.
[09:10:27 AM] Meruga: Thank you for contacting Motorola chat support. Have a Wonderful day!
[09:10:28 AM] &#39;asad&#39; disconnected (&#39;Concluded by Agent&#39;).
"," i have moto x 2nd gen verizon version, i tried to unlock its bootloader through motorola website but it says device do not qualify to unlock bootloader",H1.5.1, i have moto x 2nd gen verizon version  i tried to unlock its bootloader through motorola website but it says device do not qualify to unlock bootloader, moto x 2nd gen verizon version tried unlock bootloader motorola website says device qualify unlock bootloader, i have moot x 2nd gen Verizon version i tried to unlock its boot loader through Motorola website but it says device do not qualify to unlock boot loader
9,9303437,MOTO E,Lock/Unlock Phone,"[09:08:03 PM]Hi, my name is Marc Julius&#46; How may I help you?<br />
[09:08:27 PM]Adarsh: i want to unlock moto e xt1022<br />
[09:08:55 PM]HH_Marc Julius Piguerra: What do you mean by unlock Adarsh?<br />
[09:10:21 PM]Adarsh: my device is bricked i want to flash stock rom but shows devices is locked<br />
[09:11:10 PM]HH_Marc Julius Piguerra: Have you try to reset your phone?<br />
[09:11:55 PM]Adarsh: my fones software totaly deleted<br />
[09:12:12 PM]Adarsh: only go into fastboot<br />
[09:13:04 PM]HH_Marc Julius Piguerra: Have you try to reset your phone?<br />
[09:13:10 PM]Adarsh: yes<br />
[09:15:02 PM]HH_Marc Julius Piguerra: If that's the case Adarsh, that is the last troubleshooting steps that we may try to resolve your issue, you can request a repair in our website heres the link anyway <a href=""https://accounts.motorola.com/ssoauth/login?locale=us_en&appid=ZI2FIY5LS7R8EE1WJBZ6MUBHXUF517H7&TARGET=https://motorola-global-portal.custhelp.com/cc/cas/sso/redirect/mcp/service/open/request"" target=""_blank"">https://accounts.motorola.com/ssoauth/login?locale=us_en&appid=ZI2FIY5LS7R8EE1WJBZ6MUBHXUF517H7&TARGET=https://motorola-global-portal.custhelp.com/cc/cas/sso/redirect/mcp/service/open/request</a>.<br />
[09:15:14 PM]HH_Marc Julius Piguerra: Anything else?<br />
[09:16:54 PM]Adarsh: i am go their allready and get fastboot oem get_unlock_data<br />
[09:17:15 PM]Adarsh: then give me code<br />
[09:17:18 PM]Adarsh: 3A35230266696982#5A5831423334504B445800585431303232000000#619CB30C9E732251368CAE2BE8587C36DF4F70F1#67503B06120000000000000000000000<br />
[09:17:21 PM]Adarsh: this<br />
[09:17:47 PM]HH_Marc Julius Piguerra: If that's the case please do contact us in our toll free number 1 (800) 734-5870.<br />
[09:18:25 PM]HH_Marc Julius Piguerra: As much as I wanted to help you but my tools here are limited.<br />
[09:18:38 PM]Adarsh: ok<br />
[09:18:50 PM]HH_Marc Julius Piguerra: Great! For future assistance don't hesitate to contact us anytime and by the way, you will be receiving a survey through the email you provided earlier and I would appreciate your quick feedback that will surely help me on improving my service. This survey purely talks about my performance within the whole chat. Thank you so much! I’ll be looking forward for your scores and comments after this chat. Thank you for contacting Motorola chat support. Have a Wonderful day!<br />
[09:18:53 PM]'Adarsh' disconnected ('Concluded by Agent').<br />", i want to unlock moto e xt1022,H1.5.1, i want to unlock moto e xt1022, want unlock moto e xt1022, i want to unlock moot e xt1022
